数据分类,配件类别,产品系列,物料名称,物料代码,物料描述,备注,标签,标识,IMG
配件,镜头罩,ID2000XM全透镜头罩,MV-IDA-C-Y-51.5-31.5-T(国内中性),310102931,ID2000XM全透镜头罩,若ID2000XM出货配置为全透镜头罩，订单中备注：删除：202408180，添加：202407731,C-Y-51.5,0,C-Y-51.5
配件,镜头罩,半偏镜头罩-14灯珠,MV-IDA-C-Y-62-62-HP(国内中性),310100787,ID3013PM/ID3050PM/ID5050M半偏镜头罩,半成品物料：202402547（下配置订单请备注半成品物料号）,C-Y-62-14,1,C-Y-62-14HP
配件,镜头罩,全偏镜头罩-14灯珠,MV-IDA-C-Y-62-62-P(国内中性),310100785,ID3013PM/ID3050PM/ID5050M全偏镜头罩,若出货配置为全偏镜头罩，订单中备注：删除：202402547，添加：202402673,C-Y-62-14,0,C-Y-62-14P
配件,镜头罩,全透镜头罩-14灯珠,MV-IDA-C-Y-62-62-T(国内中性),310100788,ID3013PM/ID3050PM/ID5050M全透镜头罩,若出货配置为透明镜头罩，订单中备注：删除：202402547，添加：202402542,C-Y-62-14,0,C-Y-62-14K
配件,镜头罩,扩散镜头罩-14灯珠,MV-IDA-C-Y-62-62-K(国内中性),310101825,ID3013PM/ID3050PM/ID5050M扩散镜头罩,若出货配置为扩散镜头罩，订单中备注：删除：202402547，添加：202404885,C-Y-62-14,0,C-Y-62-14K
配件,镜头罩,长波通镜头罩-14灯珠,MV-IDA-C-Y-62-62-IR775(国内中性),310102605,ID3013PM/ID3050PM/ID5050M长波通镜头罩，775nm长波通，用于屏蔽工厂内部环境光干扰，通常搭配红外灯板使用,若出货配置为红外长波镜头罩，订单中备注：删除：202402547，添加：202407776,C-Y-62-14,0,C-Y-62-14K
配件,镜头罩,紫外T565镜头罩-14灯珠,MV-IDA-C-Y-62-62-T565nm(国内中性),310103225,ID3013PM/ID3050PM/ID5050M紫外T565镜头罩，过滤565nm以下波段光源，通常搭配紫外灯板使用，用于提升隐形码的对比度,若出货配置为紫外T565镜头罩，订单中备注：删除：202402547，添加：202409870,C-Y-62-14,0,C-Y-62-14K
配件,镜头罩,极小码配件1-14灯珠,MV-IDA-C-Y-62-62-M1,310101674,ID3013PM/ID3050PM/ID5050M极小码配件1，对焦距离34~47mm，读码精度可达0.012mm，建议采用倾斜8°-15°的架设方式,若出货配置为极小码配件一，订单中备注：删除：202402547，添加：202404355,C-Y-62-14,0,C-Y-62-14K
配件,镜头罩,极小码配件2-14灯珠,MV-IDA-C-Y-62-62-M2,310101675,ID3013PM/ID3050PM/ID5050M极小码配件2，对焦距离42~76mm，读码精度可达0.016mm，建议采用倾斜8°-15°的架设方式,若出货配置为极小码配件二，订单中备注：删除：202402547，添加：202404356,C-Y-62-14,0,C-Y-62-14K
配件,镜头罩,全透镜头罩-8灯珠,MV-IDA-C-N-62-62-T(国内中性),190214704,ID3013PM-8/ID3016PM透明镜头罩,半成品物料：190214704（下配置订单请备注半成品物料号）,C-Y-62-8,1,C-Y-62-8T
配件,镜头罩,全偏镜头罩-8灯珠,MV-IDA-C-N-62-62-P(国内中性),310100046,ID3013PM-8/ID3016PM偏振镜头罩,若ID3013-8/ID3016出货配置为全偏镜头罩，订单中备注：删除：190214704，添加：202402640,C-Y-62-8,0,C-Y-62-8P
配件,镜头罩,ID3000XM半偏镜头罩,V-读码器018-上盖点胶组件/半偏振,202404758,仅4颗灯珠区域为半偏，底部任为扩散，仅适配ID3000XM,ID3000XM半成品物料,C-Y-61-X,1,C-Y-61-X
配件,镜头罩,ID3000XM全透镜头罩,V-读码器018-上盖点胶组件/全透,202404919,仅4颗灯珠区域为全透，底部任为扩散，仅适配ID3000XM,若ID3000XM出货配置为全透镜头罩，订单中备注：删除：202404758，添加：202404919,C-Y-61-X,0,C-Y-61-X
配件,镜头罩,ID3000XM全偏镜头罩,V-读码器018-上盖点胶组件/全偏振,202404836,仅4颗灯珠区域为全偏，底部任为扩散，仅适配ID3000XM,若ID3000XM出货配置为全偏镜头罩，订单中备注：删除：202404758，添加：202404836,C-Y-61-X,0,C-Y-61-X
配件,镜头罩,ID3000XM半偏镜头罩,V-读码器018-上盖3点胶组件/半偏振,202408451,仅4颗灯珠区域为半偏，底部任为扩散，仅适配ID3000XM V3.0,ID3000XM V3.0半成品物料,C-Y-61-3,1,C-Y-61-X
配件,镜头罩,ID3000XM全偏镜头罩,V-读码器018-上盖3点胶组件/全偏振,202409861,仅4颗灯珠区域为全偏，底部任为扩散，仅适配ID3000XM V3.0,若ID3000XM V3.0出货配置为全偏镜头罩，订单中备注：删除：202408451，添加：202409861,C-Y-61-3,0,C-Y-61-X
配件,镜头罩,ID3000XM全透镜头罩,V-读码器018-上盖3点胶组件/全透,202409862,仅4颗灯珠区域为全透，底部任为扩散，仅适配ID3000XM V3.0,若ID3000XM V3.0出货配置为全透镜头罩，订单中备注：删除：202408451，添加：202409862,C-Y-61-3,0,C-Y-61-X
配件,镜头罩,ID3000RM半偏镜头罩,V-读码器018-上盖点胶组件/无扩散/半偏振,202408015,仅4颗灯珠区域为半偏，仅适配ID3000RM,,C-Y-61-R,1,C-Y-61-X
配件,镜头罩,ID3000RM全偏镜头罩,V-读码器018-上盖点胶组件/无扩散/全偏振,202408530,仅4颗灯珠区域为全偏，仅适配ID3000RM,若ID3000RM出货配置为全偏镜头罩，订单中备注：删除：202408015，添加：202408530,C-Y-61-R,0,C-Y-61-X
配件,镜头罩,ID3000RM全透镜头罩,V-读码器018-上盖点胶组件/无扩散/全透,202408531,仅4颗灯珠区域为全透，仅适配ID3000RM,若ID300RXM出货配置为全透镜头罩，订单中备注：删除：202408015，添加：202408531,C-Y-61-R,0,C-Y-61-X
配件,镜头罩,ID5060M全透镜头罩,MV-IDA-C-N-78-78-T,190240954,ID5060M全透镜头罩,,C-N-78,1,C-N-78T
配件,镜头罩,ID5060M全偏镜头罩,MV-IDA-C-N-78-78-P,310100454,ID5060M全偏镜头罩,若ID5060出货配置为全偏镜头罩，订单中备注：删除：190240954，添加：190219579,C-N-78,0,C-N-78P
配件,镜头罩,ID5060M扩散镜头罩,MV-IDA-C-N-78-78-K,310102438,ID5060M扩散镜头罩,若ID5060出货配置为扩散镜头罩，订单中备注：删除：190240954，添加：102203992,C-N-78,0,C-N-78K
配件,镜头罩,ID5060M偏振扩散镜头罩,MV-IDA-C-N-78-78-PK,102205250,ID5060M偏振扩散镜头罩,若ID5060出货配置为偏振扩散镜头罩，订单中备注：删除：190240954，添加：102205250,C-N-78,0,C-N-78K
配件,镜头罩,ID5000XM半偏镜头罩,MV-IDA-C-Y-41-56-H,202406694,ID5000XM标配半偏镜头罩,,C-Y-41,1,C-Y-41
配件,镜头罩,ID5000XM全偏镜头罩,MV-IDA-C-Y-41-56-P(国内中性),310102293,ID5000XR全偏镜头罩,若ID5000X/R出货配置为全偏，订单中备注：删除：202406694，添加：202406695,C-Y-41,0,C-Y-41
配件,镜头罩,ID5000XM全透镜头罩,MV-IDA-C-Y-41-56-T(国内中性),310102294,ID5000XR透明镜头罩,若ID5000X/R出货配置为全透，订单中备注：删除：202406694，添加：202406696,C-Y-41,0,C-Y-41
配件,FA镜头,HF系列,MVL-HF0624M-10MP(全球通标配),310100679,FA镜头，6mm，F2.4，1/1.8英寸，10MP，C接口,,HF06,1,L-HF
配件,FA镜头,HF系列,MVL-HF0824M-10MP(全球通标配),310100680,FA镜头，8mm，F2.4，1/1.8英寸，10MP，C接口,,HF08,1,L-HF
配件,FA镜头,HF系列,MVL-HF1228M-8MP (标配),102204617,FA玻塑镜头，12mm，F2.8，1/1.8英寸，8MP，C接口,,HF121,1,L-HF
配件,FA镜头,HF系列,MVL-HF1224M-10MP(全球通标配),310100681,FA镜头，12mm，F2.4，1/1.8英寸，10MP，C接口,,HF123,1,L-HF
配件,FA镜头,HF系列,MVL-HF1628M-8MP (标配),102205266,FA镜头，16mm，F2.8，1/1.8英寸，8MP，C接口,,HF161,1,L-HF
配件,FA镜头,HF系列,MVL-HF1624M-10MP(全球通标配),310100682,FA镜头，16mm，F2.4，1/1.8英寸，10MP，C接口,,HF163,1,L-HF
配件,FA镜头,KF系列,MVL-KF2056M-10MP (标配),102202996,FA镜头，20mm，F5.6，1英寸，10MP，C接口,,HF20,1,L-KF
配件,FA镜头,MF系列,MVL-MF0828M-8MP(全球通中性),310100632,FA镜头，8mm，F2.8，2/3英寸，8MP，C接口,,MF,0,L-MF
配件,FA镜头,MF系列,MVL-MF1228M-8MP(全球通中性),310100633,FA镜头，12mm，F2.8，2/3英寸，8MP，C接口,,MF,0,L-MF
配件,FA镜头,MF系列,MVL-MF1628M-8MP(全球通中性),310100634,FA镜头，16mm，F2.8，2/3英寸，8MP，C接口,,MF,0,L-MF
配件,FA镜头,MF系列,MVL-MF2528M-8MP(全球通中性),310100635,FA镜头，25mm，F2.8，2/3英寸，8MP，C接口,,MF,0,L-MF
配件,FA镜头,MF系列,MVL-MF3528M-8MP(全球通中性),310100636,FA镜头，35mm，F2.8，2/3英寸，8MP，C接口,,MF,0,L-MF
配件,FA镜头,MF系列,MVL-MF5028M-8MP(全球通中性),310100637,FA镜头，50mm，F2.8，2/3英寸，8MP，C接口,,MF,0,L-MF
配件,FA镜头,KF系列,MVL-KF0818M-12MP(中性),310101752,8mm焦距，12MP分辨率镜头，1‘’，F1.8，C接口,,KF,0,L-KF
配件,FA镜头,KF系列,MVL-KF1228M-12MP(全球通中性),310102032,12mm焦距，12MP分辨率镜头，1.1‘’，F2.8，C接口,,KF,0,L-KF
配件,FA镜头,KF系列,MVL-KF1628M-12MP(全球通中性),310102033,16mm焦距，12MP分辨率镜头，1.1‘’，F2.8，C接口,,KF,0,L-KF
配件,FA镜头,KF系列,MVL-KF2528M-12MP(全球通中性),310102034,25mm焦距，12MP分辨率镜头，1.1‘’，F2.8，C接口,,KF,0,L-KF
配件,FA镜头,KF系列,MVL-KF3528M-12MP(全球通中性),310102035,35mm焦距，12MP分辨率镜头，1.1‘’，F2.8，C接口,,KF,0,L-KF
配件,FA镜头,KF系列,MVL-KF5028M-12MP(全球通中性),310102036,50mm焦距，12MP分辨率镜头，1.1‘’，F2.8，C接口,,KF,0,L-KF
配件,FA镜头,KF系列,MVL-KF1640NA-E,102206152,电动镜头，16mm，F4.0，C接口,,KF16,1,L-KF
配件,FA镜头,KF系列,MVL-KF2540NA-E,102206263,电动镜头，25mm，F4.0，C接口,,KF25,1,L-KF
配件,FA镜头,LF系列,MVL-LF3540M-F,102205999,电动镜头，35mm，F4.0，F接口,,LF35F,1,L-LF
配件,FA镜头,LF系列,MVL-LF3540M-F(全球通标配),310101901,FA镜头，35mm，F4.0，全画幅，8k5u，F接口,,LF35,1,L-LF
配件,FA镜头,LF系列,AF5040-M42,102203401,FA镜头，48.9mm，F4，28.2mm靶面，7um，非红外，M42接口,,AF50,1,
配件,M12镜头,M12镜头,BTY0640-MP,102202388,焦距6mm，光圈F4.0，百万像素，M12接口镜头,,,,L-M12
配件,M12镜头,M12镜头,BTS1540-01S,102202366,焦距14.8mm，光圈F4.0，百万像素，M12接口镜头,,,,L-M12
配件,M12镜头,M12镜头,BHYB0856-12S,102203387,焦距8mm，光圈F5.6，六百万像素，M12接口镜头,,,,L-M12
配件,M12镜头,M12镜头,BHP1256-12S,102202753,焦距12mm，光圈F5.6，12百万像素，M12接口镜头,,,,L-M12
配件,M12镜头,M12镜头,BHP1656-12S,102203196,焦距16mm，光圈F5.6，一千两百万像素，M12接口镜头,,,,L-M12
配件,M12镜头,M12镜头,BTY1516-05S,102204262,焦距16.26mm，光圈F1.6，5百万像素，M12接口镜头,,,,L-M12
配件,M12镜头,M12镜头,BHP2556-12S,102203197,焦距25mm，光圈F5.6，一千两百万像素，M12接口镜头,,,,L-M12
配件,M12镜头,M12镜头,BHYT0540-04S,102205973,"M12接口镜头,1/1.8”,光圈F4.0,焦距4.98mm",,,,L-M12
配件,M12镜头,M12镜头,BMY0840-05S,102205321,"M12镜头，8mm，F4.0，2/3""，5MP，M12接口",,,,L-M12
配件,M12镜头,M12镜头,BMY1240-20S,102205253,M12镜头，12mm，F4.0，2/3''，20MP，M12接口,,,,L-M12
配件,M12镜头,M12镜头,BHYB1640-05S,102205952,"M12接口镜头,1/1.7”, 光圈F4.0, 焦距16.01mm",,,,L-M12
配件,扩展配件,隔离支架,ID2000M隔离支架,190234947,V-读码器035-隔离支架适配ID2000系列基线型号使用，配合安装支架使用，相机孔位M2,,Iso-Braket,0,Iso-Braket
配件,扩展配件,IO盒子,MV-IDA-IO-22(国内中性),310101339,仅适配ID2013EM网口型号使用，6路IO，可直接搭配优化版本线缆绿色端子头使用,,IO-BOX2,0,IO-BOX2
配件,扩展配件,IO盒子,MV-IDA-IO-33(国内中性)V2.0,310102404,适配ID2000M系列网口型号使用，内嵌光耦隔离IO，8路IO,单独包装物料：310102379,IO-BOX3,1,IO-BOX3
配件,扩展配件,ID3000XM-极小码配件,MV-IDA-C-Y-61-45-M(国内中性),310102058,极小码配件，小码识别能力：0.006mm,,C-Y-61-M,0,C-Y-61-M
配件,扩展配件,ID3000XM-YAG防护罩,MV-IDA-C-Y-61-45-YAG(国内中性),310102059,激光防护罩，防护1064nm激光漫射,,C-Y-61-Y,0,C-Y-61-Y
配件,扩展配件,ID3000XM-ESD防护罩,MV-IDA-C-Y-61-45-ESD(国内中性),310102060,静电防护罩，复合IEC61340-5-1：2016防静电要求,,C-Y-61-E,0,C-Y-61-E
配件,扩展配件,ID3000XM-匀光罩,MV-IDA-C-Y-61-45-DOME(国内中性),310102061,匀光罩，适合金属拉丝反光场景,,C-Y-61-D,0,C-Y-61-D
配件,扩展配件,ID5000XM-ESD防护罩,MV-IDA-C-Y-41-56-ESD(国内中性),310102292,静电防护罩，复合IEC61340-5-1：2016防静电要求,,C-Y-41-E,0,C-Y-41-E
配件,扩展配件,ID5000XM红色全透爆闪光源,MV-IDA-SL-16-M-RBN(全球通中性),310103191,适配M口型号，红色16颗补光灯，全透镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-M,0,SL-16-M
配件,扩展配件,ID5000XM红色全偏爆闪光源,MV-IDA-SL-16-M-RBP(全球通中性),310102928,适配M口型号，红色16颗补光灯，全偏镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-M,0,SL-16-M
配件,扩展配件,ID5000XM白色全透爆闪光源,MV-IDA-SL-16-M-WBN(全球通中性),310103032,适配M口型号，白色16颗补光灯，全透镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-M,0,SL-16-M
配件,扩展配件,ID5000XM白色全偏爆闪光源,MV-IDA-SL-16-M-WBP(全球通中性),310103190,适配M口型号，白色16颗补光灯，全偏镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-M,0,SL-16-M
配件,扩展配件,ID5000XM蓝色全透爆闪光源,MV-IDA-SL-16-M-BBN(全球通中性),310103192,适配M口型号，蓝色16颗补光灯，全透镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-M,0,SL-16-M
配件,扩展配件,ID5000XM蓝色全偏爆闪光源,MV-IDA-SL-16-M-BBP(全球通中性),310103193,适配M口型号，蓝色16颗补光灯，全偏镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-M,0,SL-16-M
配件,扩展配件,ID5000XM红色全透爆闪光源,MV-IDA-SL-16-C-RBN(全球通中性),310103194,适配C口型号，红色16颗补光灯，全透镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-C,0,SL-16-C
配件,扩展配件,ID5000XM红色全偏爆闪光源,MV-IDA-SL-16-C-RBP(全球通中性),310103074,适配C口型号，红色16颗补光灯，全偏镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-C,0,SL-16-C
配件,扩展配件,ID5000XM白色全透爆闪光源,MV-IDA-SL-16-C-WBN(全球通中性),310103088,适配C口型号，白色16颗补光灯，全透镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-C,0,SL-16-C
配件,扩展配件,ID5000XM白色全偏爆闪光源,MV-IDA-SL-16-C-WBP(全球通中性),310103195,适配C口型号，白色16颗补光灯，全偏镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-C,0,SL-16-C
配件,扩展配件,ID5000XM蓝色全透爆闪光源,MV-IDA-SL-16-C-BBN(全球通中性),310103197,适配C口型号，蓝色16颗补光灯，全透镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-C,0,SL-16-C
配件,扩展配件,ID5000XM蓝色全偏爆闪光源,MV-IDA-SL-16-C-BBP(全球通中性),310103196,适配C口型号，蓝色16颗补光灯，全偏镜头罩，亮度最大可达自带光源的3倍以上,,SL-16-C,0,SL-16-C
配件,扩展配件,ID5000XM-蓝色微码光源,MV-IDA-LY-02-76C-20B2(全球通中性),310103150,适配C口型号，蓝色 20 颗补光灯，暗场光源，工作距离76mm,,LY-02,0,LY-02
配件,扩展配件,ID5000XM-红色微码光源,MV-IDA-LY-02-76C-20R2(全球通中性),310103149,适配C口型号，红色 20 颗补光灯，暗场光源，工作距离76mm,,LY-02,0,LY-02
配件,扩展配件,ID5000XM-蓝色微码光源,MV-IDA-LY-02-76C-61B8(全球通中性),310103148,适配C口型号，蓝色 61 颗补光灯，明暗场光源，工作距离76mm,,LY-02,0,LY-02
配件,扩展配件,ID5000XM-红色微码光源,MV-IDA-LY-02-76C-61R8(全球通中性),310103147,适配C口型号，红色 61 颗补光灯，明暗场光源，工作距离76mm,,LY-02,0,LY-02
配件,扩展配件,物流大灯,MV-LB-270-140-4030WL-A,310100510,"24V,120W, 32LED颗粒,全角40*30°，主推，搭配ID6000系列智能读码器使用","若ID5000C口搭配物流大灯，相机钣金需要调整，订单中备注：删除：190170125，添加：190175190；配合读码器使用时，相机与光源的连接线需要额外配置下单：光源触发线：310102111, 光源触发线,TB2A10P转open,7m,黑；相机触发线：310102110, ,M12A12F转TB2A12S ,50cm,黑",LB-270,0,LB-270
配件,扩展配件,物流大灯,MV-LB-270-140-4030WL-AP,310101583,基于主推LB270系列外置偏振罩,白光偏振32颗LED灯，需要镜头搭配偏振环使用才有效果。,LB-270,0,LB-270
配件,扩展配件,物流大灯,MV-LB-270-140-4030WL-A(海康机器人定制),310100786,透镜板无角度，全发散，配合3D相机使用,白光发散光32颗LED灯，常用于包裹追溯方案。,LB-270,0,LB-270
配件,扩展配件,物流大灯,MV-LB-270-140-4030WL-IR,310101522,基于主推LB270系列开发的红外版本光源，配合通道门场景使用过效果佳,红外波段对不同油墨的反光有选择性，项目需要前置测试。测试通过可有效避免人眼干扰。,LB-270,0,LB-270
配件,扩展配件,物流大灯,MV-LB-270-140-4030WL-B,310101824,蓝色光源，特殊场景定制，已发布,DWS时搭配线激光使用有奇效。,LB-270,0,LB-270
配件,扩展配件,物流大灯,MV-LB-270-140-4030WL-F,310102252,白光爆闪32颗LED灯，瞬时功率最大可达250W，平均功率40W， 可搭配全局快门支持响应更高速度场景应用。,只可用于频闪模式,LB-270,0,LB-270
配件,扩展配件,物流大灯,MV-LB-HVS-24WL-A,310100614,24V，100W，48LED，全角24°通道门项目建议使用,标配190116266智能相机安装板，换用工业相机需要配置单改为190116382,LB-270,0,LB-200-48
配件,扩展配件,物流大灯,MV-LB-150-150-40WLS,310100039,"24V,36W,24LED颗粒,全角40°",标配190151749智能相机安装板，换用工业相机需要配置单改为190151718,LB-270,0,LB-150-24
配件,扩展配件,物流大灯,MV-LB-230-230-4030WL-A,310100025,"48V,240W,48LED颗粒,全角40-30°",高速六面读码使用，适配ID6000系列读码器，需单独配大灯，配合高速分拣项目使用,LB-270,0,LB-230-48
配件,扩展配件,ID2000XM白色全透爆闪光源,MV-IDA-BCL-A-WHN-TOF(全球通中性),310103168,白色20颗补光灯，全透镜头罩，亮度最大可达自带光源的2.5倍以上,,BCL-A,0,IDA-BCL
配件,FA镜头,IDH2000电池,U可充电锂离子电池,101900824,"3.7V,2700mA*h,带卡扣，适配IDH2000无线款",不可拆卸，不推荐客户更换,LIB-2,1,
配件,FA镜头,IDH3000电池,MV-IDH3013B-BATTERY-01,101901181,"CMV-IDH3013B-BATTERY-01,3.6V3150mAh,TI，适配IDH2000无线款",不可拆卸，不推荐客户更换,LIB-3,1,
配件,FA镜头,IDH7000电池,MV-IDA-H70-BATTERY-01,101900934,"CMV-IDA-H70-BATTERY-01,3.6V3150mAh,TI，适配IDH2000无线款",,LIB-7,1,
配件,FA镜头,IDH9000电池,MV-IDA-H90B–BATTERY-02,101901097,"3.69V,4650mAh,可更换，适配IDH2000无线款",,LIB-9,1,
